"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0
NL,Fr,60,Export,"€134,53","€188,93","€210,28","€249,95","€276,13","€305,40","€335,62","€358,37","€417,76","€444,85","€471,92","€496,29","€520,66","€535,12","€588,69","€640,34","€686,76","€739,31","€769,96"
NL,Fr,61,Export,"€142,82","€201,25","€235,95","€312,40","€341,17","€374,51","€433,68","€460,39","€517,10","€558,37","€599,62","€649,43","€699,25","€721,15","€782,06","€856,01","€924,75","€992,17","€1.037,69"
NL,Fr,62,Export,"€117,76","€138,42","€158,12","€196,87","€225,95","€247,70","€282,71","€300,03","€360,86","€384,06","€407,27","€415,59","€423,92","€433,21","€455,09","€487,36","€516,21","€551,18","€559,54"
NL,Fr,63,Export,"€140,84","€197,14","€231,12","€315,66","€335,27","€368,25","€430,96","€457,57","€516,74","€557,02","€597,32","€715,25","€833,18","€847,65","€930,80","€1.012,19","€1.095,80","€1.185,53","€1.231,05"
NL,Fr,64,Export,"€155,20","€227,28","€266,48","€384,07","€462,79","€503,74","€558,68","€590,47","€670,89","€727,65","€784,41","€965,05","€1.145,70","€1.167,61","€1.280,34","€1.398,92","€1.512,28","€1.631,76","€1.699,59"
NL,Fr,65,Export,"€161,59","€235,50","€276,12","€384,07","€462,79","€503,74","€574,01","€606,41","€701,45","€757,47","€813,48","€979,60","€1.145,70","€1.167,61","€1.280,34","€1.398,92","€1.512,28","€1.631,76","€1.699,59"
NL,Fr,66,Export,"€160,68","€231,39","€271,30","€376,18","€434,31","€473,47","€563,79","€595,79","€674,88","€751,76","€828,65","€987,18","€1.145,70","€1.167,61","€1.280,34","€1.398,92","€1.512,28","€1.631,76","€1.699,59"
NL,Fr,67,Export,"€145,58","€209,47","€245,59","€303,10","€323,66","€355,91","€388,51","€413,42","€474,68","€507,56","€540,45","€550,73","€561,02","€571,30","€581,26","€618,14","€655,08","€698,13","€719,98"
NL,Fr,68,Export,"€145,78","€209,47","€245,59","€289,81","€323,66","€355,91","€387,22","€412,06","€482,20","€524,30","€566,42","€577,02","€587,62","€602,09","€655,63","€714,71","€768,57","€835,99","€866,64"
NL,Fr,69,Export,"€147,23","€209,47","€245,59","€293,31","€316,69","€348,51","€384,98","€409,74","€472,88","€541,43","€609,95","€648,15","€686,36","€709,74","€765,17","€845,98","€901,79","€963,73","€1.003,09"
NL,Fr,70,Export,"€141,24","€195,86","€229,61","€288,04","€321,64","€353,77","€384,98","€409,74","€479,53","€521,35","€563,19","€582,85","€602,51","€624,41","€677,94","€737,02","€790,89","€858,31","€888,95"
NL,Fr,71,Export,"€138,26","€195,78","€229,52","€293,31","€316,69","€348,51","€384,98","€409,74","€472,88","€541,43","€609,95","€662,04","€714,13","€736,03","€804,38","€878,33","€947,07","€1.021,92","€1.060,01"
NL,Fr,72,Export,"€136,05","€188,93","€221,48","€340,31","€381,18","€417,04","€458,19","€485,90","€538,58","€577,40","€616,22","€698,65","€781,09","€795,55","€871,31","€952,69","€1.021,43","€1.103,72","€1.149,25"
NL,Fr,73,Export,"€144,89","€208,10","€243,98","€320,93","€350,12","€384,03","€447,56","€474,85","€568,56","€622,13","€675,68","€802,81","€929,91","€951,82","€1.042,35","€1.138,62","€1.229,67","€1.326,84","€1.379,80"
NL,Fr,74,Export,"€145,52","€209,47","€245,59","€320,93","€350,12","€384,03","€447,56","€474,85","€568,56","€622,13","€675,68","€765,60","€855,51","€877,42","€960,55","€1.049,37","€1.125,55","€1.215,28","€1.268,24"
NL,Fr,75,Export,"€139,76","€191,76","€211,22","€256,59","€291,14","€321,36","€362,72","€386,56","€427,16","€455,29","€483,42","€498,55","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
NL,Fr,76,Export,"€134,29","€199,90","€211,22","€257,93","€292,39","€322,69","€349,81","€373,14","€431,19","€456,66","€482,14","€508,84","€535,54","€550,00","€596,14","€655,21","€701,64","€754,19","€784,83"
NL,Fr,77,Export,"€142,54","€184,99","€210,28","€249,95","€276,13","€305,40","€340,77","€363,74","€417,76","€442,28","€466,82","€490,26","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
NL,Fr,78,Export,"€151,73","€184,99","€216,86","€265,90","€292,39","€322,69","€349,81","€373,14","€431,19","€456,66","€482,14","€531,17","€580,18","€594,64","€648,20","€707,27","€761,14","€821,12","€851,77"
NL,Fr,79,Export,"€144,17","€195,86","€229,61","€326,19","€374,88","€410,34","€456,51","€484,15","€548,62","€598,26","€647,89","€755,41","€862,95","€884,85","€967,99","€1.056,81","€1.140,42","€1.230,15","€1.275,68"
NL,Fr,80,Export,"€135,94","€175,34","€198,99","€240,69","€257,56","€285,68","€308,80","€330,47","€380,60","€403,92","€427,22","€451,62","€476,01","€490,48","€536,63","€580,84","€627,27","€672,38","€703,03"
NL,Fr,81,Export,"€153,33","€223,17","€261,66","€356,45","€426,88","€465,58","€544,63","€575,85","€693,48","€719,98","€746,48","€908,89","€1.071,29","€1.093,20","€1.198,53","€1.309,67","€1.415,60","€1.527,64","€1.588,03"
NL,Fr,82,Export,"€157,48","€224,54","€263,27","€356,45","€420,69","€459,01","€538,25","€569,20","€685,51","€715,36","€745,22","€773,12","€801,02","€827,10","€898,64","€992,93","€1.062,23","€1.137,64","€1.182,41"
NL,Fr,83,Export,"€169,54","€245,09","€287,37","€413,01","€464,02","€505,06","€576,56","€609,08","€730,69","€797,37","€864,05","€986,28","€1.108,50","€1.137,85","€1.243,15","€1.361,73","€1.467,66","€1.587,13","€1.647,53"
NL,Fr,84,Export,"€161,85","€235,50","€276,12","€353,81","€405,83","€443,22","€519,09","€549,28","€625,71","€689,25","€752,81","€776,91","€801,02","€827,10","€898,64","€992,93","€1.062,23","€1.137,64","€1.182,41"
NL,Fr,85,Export,"€138,63","€195,86","€229,61","€293,31","€322,88","€355,09","€410,52","€436,31","€523,38","€576,14","€628,92","€673,82","€718,73","€743,47","€802,93","€889,12","€948,99","€1.014,96","€1.058,36"
