Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,
NL,DE,99,Import,81.43,108.92,126.90,194.59,218.91,276.00,375.88,397.25,438.73,457.59,490.28,509.13,526.73,564.45,584.57,622.28,639.88,
NL,DK,10,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,11,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,12,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,13,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,14,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,15,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,16,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,17,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,18,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,19,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,20,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,21,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,22,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,23,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,24,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,25,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,26,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,27,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,28,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,29,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,30,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
